t|obj_id
39|2954 with 1974
40|3785 with 2738
40|8806 with 7092
40|1653 with 1232
40|3017 with 5680
40|9150 with 9130
40|6045 with 5348
40|2858 with 2330
40|2709 with 2420
40|4702 with 4695
40|2954 with 1974
40|2430 with 2190
40|2497 with 2190
40|2497 with 2430
40|2520 with 2190
40|2520 with 2430
40|2520 with 2497
40|2617 with 2190
40|2617 with 2430
40|2617 with 2497
40|2617 with 2520
40|2631 with 2190
40|2631 with 2430
40|2631 with 2497
40|2631 with 2520
40|2631 with 2617
40|2831 with 2631
40|2831 with 2520
40|2831 with 2617
40|3191 with 2631
40|3191 with 2093
40|3191 with 2430
40|3191 with 2617
40|3351 with 2631
40|3351 with 3191
40|3351 with 2093
40|3351 with 2617
40|3795 with 2093
40|3803 with 2631
40|3803 with 2831
40|3803 with 2520
40|3803 with 2617
40|3351 with 2631
40|3351 with 3191
40|3351 with 2093
40|3351 with 2617
40|4118 with 3831
40|4276 with 3831
40|4286 with 4118
40|4321 with 4276
40|4321 with 4286
40|4380 with 4286
40|4380 with 4321
40|4628 with 4624
40|4667 with 4628
40|4721 with 4628
40|4721 with 4667
40|4733 with 4667
40|4733 with 4721
40|4857 with 4733
40|4867 with 4624
40|4867 with 4628
40|4867 with 4667
40|4867 with 4733
40|6990 with 4887
40|6990 with 4991
40|7078 with 4991
40|7078 with 6990
40|7089 with 4991
40|7089 with 6990
40|7089 with 7078
40|7263 with 4991
40|7263 with 6990
40|7263 with 7078
40|7263 with 7089
40|7318 with 4991
40|7318 with 6990
40|7318 with 7078
40|7318 with 7089
40|7318 with 7263
40|8068 with 6990
40|8068 with 7089
40|7318 with 4991
40|7318 with 6990
40|7318 with 7078
40|7318 with 7089
40|7318 with 7263
40|8356 with 8174
40|8720 with 8245
40|8720 with 8356
40|9072 with 8245
40|9072 with 8720
40|9188 with 8245
40|9188 with 8356
40|9188 with 8720
40|9188 with 9072
40|9370 with 8356
40|8068 with 4867
40|8068 with 3803
40|8068 with 2631
40|8068 with 3795
40|9542 with 9536
40|9750 with 9536
40|9750 with 9542
40|9765 with 9536
40|9778 with 9536
40|9778 with 9542
40|9778 with 9750
40|9778 with 9765
40|9802 with 9536
40|9802 with 9542
40|9802 with 9750
40|9837 with 9536
40|9837 with 9542
40|9837 with 9750
40|9837 with 9765
40|9837 with 9778
40|9370 with 4867
40|9370 with 3803
40|9370 with 2631
40|9370 with 3795
41|3785 with 2738
41|8806 with 7092
41|1653 with 1232
41|4607 with 4367
41|9150 with 9130
41|6045 with 5348
41|2858 with 2330
41|2709 with 2420
41|4702 with 4695
41|2954 with 1974
41|2430 with 2190
41|2497 with 2190
41|2497 with 2430
41|2520 with 2190
41|2520 with 2430
41|2520 with 2497
41|2617 with 2190
41|2617 with 2430
41|2617 with 2497
41|2617 with 2520
41|2631 with 2190
41|2631 with 2430
41|2631 with 2497
41|2631 with 2520
41|2631 with 2617
41|2831 with 2631
41|2831 with 2520
41|2831 with 2617
41|3191 with 2631
41|3191 with 2093
41|3191 with 2430
41|3191 with 2617
41|3351 with 2631
41|3351 with 3191
41|3351 with 2093
41|3351 with 2617
41|3795 with 2093
41|3803 with 2631
41|3803 with 2831
41|3803 with 2520
41|3803 with 2617
41|3351 with 2631
41|3351 with 3191
41|3351 with 2093
41|3351 with 2617
41|4118 with 3831
41|4276 with 3831
41|4286 with 4118
41|4321 with 4276
41|4321 with 4286
41|4380 with 4286
41|4380 with 4321
41|4628 with 4624
41|4667 with 4628
41|4721 with 4628
41|4721 with 4667
41|4733 with 4667
41|4733 with 4721
41|4857 with 4733
41|4867 with 4624
41|4867 with 4628
41|4867 with 4667
41|4867 with 4733
41|6990 with 4887
41|6990 with 4991
41|7078 with 4991
41|7078 with 6990
41|7089 with 4991
41|7089 with 6990
41|7089 with 7078
41|7263 with 4991
41|7263 with 6990
41|7263 with 7078
41|7263 with 7089
41|7318 with 4991
41|7318 with 6990
41|7318 with 7078
41|7318 with 7089
41|7318 with 7263
41|8068 with 6990
41|8068 with 7089
41|7318 with 4991
41|7318 with 6990
41|7318 with 7078
41|7318 with 7089
41|7318 with 7263
41|8356 with 8174
41|8720 with 8245
41|8720 with 8356
41|9072 with 8245
41|9072 with 8720
41|9188 with 8245
41|9188 with 8356
41|9188 with 8720
41|9188 with 9072
41|9370 with 8356
41|8068 with 4867
41|8068 with 3803
41|8068 with 2631
41|8068 with 3795
41|9542 with 9536
41|9750 with 9536
41|9750 with 9542
41|9765 with 9536
41|9778 with 9536
41|9778 with 9542
41|9778 with 9750
41|9778 with 9765
41|9802 with 9536
41|9802 with 9542
41|9802 with 9750
41|9837 with 9536
41|9837 with 9542
41|9837 with 9750
41|9837 with 9765
41|9837 with 9778
41|9370 with 4867
41|9370 with 3803
41|9370 with 2631
41|9370 with 3795
42|3785 with 2738
